Code,category_uz,category_ru,category_en,category_uz_cyrillic,date,value
1.61,"Yumshoq pishloqlar, kolbasa shaklidagi pishloq","Сыры плавленые, колбасный сыр","Processed cheeses, sausage cheese","Юмшоқ пишлоқлар, колбаса шаклидаги пишлоқ",2024-01-01,100.0
1.62,Brinza,Брынза,Feta cheese,Бринза,2024-01-01,99.45
1.63,Tvorog,Творог,Cottage cheese,Творог,2024-01-01,100.0
1.64,Tvorogli siroklar va sirok massasi,Сырки творожные и сырковая масса,Curd cheese and curd mass,Творогли сироклар ва сирок массаси,2024-01-01,100.72
1.65,Tayoqcha shaklidagi pishloqlar,Сырные палочки,Cheese sticks,Таёқча шаклидаги пишлоқлар,2024-01-01,100.25
1.66,Smetana,Сметана,Sour cream,Сметана,2024-01-01,100.0
1.67,"Kefir, prostokvasha va boshqalar","Кефир, пpостокваша и т.п.","Kefir, sour milk, etc.","Кефир, простокваша ва бошқалар",2024-01-01,100.0
1.68,Yogurt,Йогурт,Yoghurt,Йогурт,2024-01-01,100.0
1.69,Suzma,Сузьма,Suzma,Сузма,2024-01-01,100.0
1.7,Qurt,Курт,Kurt,Қурт,2024-01-01,100.0
1.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,2024-01-01,103.21
1.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,2024-01-01,98.35
1.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,2024-01-01,99.32
1.74,Sariyogʻ,Масло сливочное,Butter,Сариёғ,2024-01-01,100.61
1.75,Margarin,Маргарин,Margarine,Маргарин,2024-01-01,97.14
1.76,"Xom xayvon yogʻlari, dumba yogʻi va shu kabilar  (shpikdan tashqari)","Жир животный сырой, курдючный и аналогичный (кроме шпика)","Animal fat, crude, tail fat and similar (except lard)","Хом хайвон ёғлари, думба ёғи ва шу кабилар  (шпикдан ташқари)",2024-01-01,100.0
1.77,"Choʻchqa yogʻi, shpik","Свиной шпик, сало","Pork fat, lard","Чўчқа ёғи, шпик",2024-01-01,100.0
1.78,Bananlar,"Бананы, свежие","Bananas, fresh",Бананлар,2024-01-01,122.57
1.79,Limonlar,"Лимоны, свежие","Lemons, fresh",Лимонлар,2024-01-01,93.66
1.8,Mandarinlar,"Мандарины, свежие","Tangerines, fresh",Мандаринлар,2024-01-01,90.47
1.81,Apelsinlar,"Апельсины, свежие","Oranges, fresh",Апельсинлар,2024-01-01,94.38
1.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,2024-01-01,106.05
1.83,Noklar,"Груши, свежие","Pears, fresh",Ноклар,2024-01-01,94.97
1.84,Shaftolilar,"Персики, свежие","Peaches, fresh",Шафтолилар,2024-01-01,103.19
1.85,Uzumlar,"Виноград, свежий","Grapes, fresh",Узумлар,2024-01-01,103.12
1.86,Yangi uzilgan tarvuzlar,"Арбузы, свежие","Watermelons, fresh",Янги узилган тарвузлар,2024-01-01,100.2
1.87,Yangi uzilgan qovunlar,"Дыни, свежие","Melons, fresh",Янги узилган қовунлар,2024-01-01,100.2
1.88,Anorlar,"Гранаты, свежие","Pomegranates, fresh",Анорлар,2024-01-01,96.34
1.89,"Mayiz, kishmish","Изюм, кишмиш","Raisins, sultanas","Майиз, кишмиш",2024-01-01,101.38
1.9,"Bargak, turshak","Курага, сушеный урюк","Dried apricots, dried apricots","Баргак, туршак",2024-01-01,100.0
1.91,Quritilgan naʼmatak,Сушеный шиповник,Dried rose hips,Қуритилган наъматак,2024-01-01,100.0
1.92,Poʻchoqli yoki poʻchogʻi tozalangan yongʻoqlar,"Орехи грецкие, в скорлупе или очищенные от скорлупы","Walnuts, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган ёнғоқлар,2024-01-01,98.96
1.93,Poʻchoqli yoki poʻchogʻi tozalangan pista,"Фисташки, в скорлупе или очищенные от скорлупы","Pistachios, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган писта,2024-01-01,100.0
1.94,Poʻchoqli yoki poʻchogʻi tozalangan bodom,"Миндаль, в скорлупе или очищенный от скорлупы","Almonds, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган бодом,2024-01-01,100.0
1.95,Poʻchoqli yoki poʻchogʻi tozalangan yeryongʻoqlar,"Арахис, в скорлупе или очищенный от скорлупы","Peanuts, in shell or peeled",Пўчоқли ёки пўчоғи тозаланган ерёнғоқлар,2024-01-01,100.0
1.96,Tuzli abrikos yoki oʻrik danaklari,Соленые абрикосовые или урюковые косточки,Salted apricot or dried apricot pits,Тузли абрикос ёки ўрик данаклари,2024-01-01,100.0
1.97,Qovurilgan kungaboqar urugʻi,"Семена подсолнечника, жареные","Sunflower seeds, roasted",Қовурилган кунгабоқар уруғи,2024-01-01,99.75
1.98,"Konservalangan mevalar, kompot (murabbo va shu kabi mahsulotlardan tashqari)","Фрукты консервированные, включая компот (кроме варенья и аналогичной продукции)","Canned fruits, including compote (except jam and similar products)","Консерваланган мевалар, компот (мураббо ва шу каби маҳсулотлардан ташқари)",2024-01-01,100.0
1.99,Karam,Капуста белокочанная,White cabbage,Карам,2024-01-01,92.27
1.1,"Yangi uzilgan yoki sovutilgan koʻkatlar (ukrop, petrushka, yashil kashnich va shu kabi)","Зелень (укроп, петрушка, киндза зеленая и аналогичные), свежая или охлажденная","Greens (dill, parsley, green coriander and similar), fresh or chilled","Янги узилган ёки совутилган кўкатлар (укроп, петрушка, яшил кашнич ва шу каби)",2024-01-01,100.72
1.101,Yangi uzilgan bodringlar,Огурцы свежие,Fresh cucumbers,Янги узилган бодринглар,2024-01-01,82.41
1.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,2024-01-01,108.55
1.103,Baqlajonlar,Баклажаны,Eggplants,Бақлажонлар,2024-01-01,148.01
1.104,Yangi uzilgan bulgʻor qalampiri,"Перец болгарский, свежий","Bell pepper, fresh",Янги узилган булғор қалампири,2024-01-01,147.0
1.105,Qovoq,Тыква,Pumpkin,Қовоқ,2024-01-01,105.07
1.106,Lavlagi,Свекла,Beetroot,Лавлаги,2024-01-01,98.02
1.107,Sabzi,Морковь,Carrot,Сабзи,2024-01-01,96.81
1.108,Sholgʻom,Репа,Turnip,Шолғом,2024-01-01,98.51
1.109,Sarimsoq,Чеснок,Garlic,Саримсоқ,2024-01-01,111.9
1.11,Piyoz,Лук репчатый,Onion,Пиёз,2024-01-01,103.79
1.111,Turp,Редька,Radish,Турп,2024-01-01,100.63
1.112,"Yangi uzilgan, sovutilgan va marinadlangan qoʻziqorinlar","Грибы, свежие, охлажденные и маринованные","Mushrooms, fresh, chilled and pickled","Янги узилган, совутилган ва маринадланган қўзиқоринлар",2024-01-01,101.21
1.113,Kartoshka,Картофель,Potato,Картошка,2024-01-01,103.0
1.114,Loviya,Фасоль,Beans,Ловия,2024-01-01,100.7
1.115,Noxat,Горох,Peas,Нохат,2024-01-01,100.0
1.116,Mosh,Маш,Mung bean,Мош,2024-01-01,99.64
1.117,Tuzlangan yoki marinadlangan bodringlar,Огурцы соленые или маринованные,Pickled or marinated cucumbers,Тузланган ёки маринадланган бодринглар,2024-01-01,100.0
1.118,Tuzlangan karam,Квашеная или соленая капуста,Sauerkraut or salted cabbage,Тузланган карам,2024-01-01,100.0
1.119,Tuzlangan yoki marinadlangan pomidorlar,Соленые или маринованные помидоры,Salted or marinated tomatoes,Тузланган ёки маринадланган помидорлар,2024-01-01,100.0
1.12,Pomidor pastasi,Томатная паста,Tomato paste,Помидор пастаси,2024-01-01,100.44
1.121,Kartoshka chips,Картофельные чипсы,Potato chips,Картошка чипс,2024-01-01,100.0
1.122,Konservalangan noxat,Консервированный горох,Canned peas,Консерваланган нохат,2024-01-01,100.0
1.123,Shakar,Сахар-песок,Sugar,Шакар,2024-01-01,99.63
1.124,Oq qand,Сахар-рафинад,Refined sugar,Оқ қанд,2024-01-01,99.58
1.125,Novvot,Навват,Navvat,Новвот,2024-01-01,99.28
1.126,"Mevali murabbo, jem","Варенье, джем из фруктов",Fruit jam,"Мевали мураббо, жем",2024-01-01,100.0
1.127,Marmelad,Мармелад,Marmalade,Мармелад,2024-01-01,100.0
1.128,Asal,Мед,Honey,Асал,2024-01-01,100.0
1.129,Kakao,Какао,Cocoa,Какао,2024-01-01,100.33
1.13,Shokolad plitkasi,Шоколадные плитки,Chocolate bars,Шоколад плиткаси,2024-01-01,100.15
1.131,"Shokoladli konfetlar, batonchiklar","Шоколадные конфеты, батончики","Chocolate candies, bars","Шоколадли конфетлар, батончиклар",2024-01-01,100.0
1.132,Shokoladli krem,Шоколадный крем,Chocolate cream,Шоколадли крем,2024-01-01,100.15
1.133,Muzqaymoq,Мороженое,Ice cream,Музқаймоқ,2024-01-01,100.0
1.134,Karamel konfetlar,Конфеты карамель,Caramel candies,Карамел конфетлар,2024-01-01,100.32
1.135,"Xolva, parvarda va shu kabi milliy shirinlik turlari","Халва, парварда и аналогичные виды национальных сладостей","Halva, parvarda and similar types of national sweets","Холва, парварда ва шу каби миллий ширинлик турлари",2024-01-01,100.0
1.136,Zefir,Зефир,Marshmallows,Зефир,2024-01-01,100.0
1.137,Saqich,Жевательная резинка,Chewing gum,Сақич,2024-01-01,100.0
1.138,Tayyor oziq-ovqat taomlar,Готовые пищевые продукты,Ready-made food products,Тайёр озиқ-овқат таомлар,2024-01-01,100.75
1.139,Bolalar ovqatlanishi uchun quruq sutli aralashmalar,Сухие молочные смеси для детского питания,Dry milk mixtures for baby food,Болалар овқатланиши учун қуруқ сутли аралашмалар,2024-01-01,100.61
1.14,Bolalar ovqatlanishi uchun boʻtqalar,Каши для детского питания,Porridges for baby food,Болалар овқатланиши учун бўтқалар,2024-01-01,100.55
1.141,Tuz,Соль,Salt,Туз,2024-01-01,100.0
1.142,Mayonez,Майонез,Mayonnaise,Майонез,2024-01-01,100.0
1.143,Uksus,Уксус,Vinegar,Уксус,2024-01-01,100.12
1.144,"Pomidor sousi, ketchup","Томатный соус, кетчуп","Tomato sauce, ketchup","Помидор соуси, кетчуп",2024-01-01,100.74
1.145,Lavr yaprogʻi,Лавровый лист,Bay leaf,Лавр япроғи,2024-01-01,100.74
1.146,Kashnich urugʻi,Киндза в зернах,Cilantro beans,Кашнич уруғи,2024-01-01,100.0
1.147,Murch  va qizil qalampir,"Перец черный, красный",Black and red pepper,Мурч  ва қизил қалампир,2024-01-01,99.57
1.148,Zira,Зира,Cuminous,Зира,2024-01-01,100.0
1.149,Tayyor ziravorlar,Готовые приправы,Ready-made seasonings,Тайёр зираворлар,2024-01-01,100.01
1.15,Xamirturush,Дрожжи,Yeast,Хамиртуруш,2024-01-01,100.0
1.151,Ovqatga ishlatiladigan soda,Сода пищевая,Baking soda,Овқатга ишлатиладиган сода,2024-01-01,101.17
1.152,Meva va sabzavotlardan tayyorlangan soklar,Фруктовые и овощные соки,Fruit and vegetable juices,Мева ва сабзавотлардан тайёрланган соклар,2024-01-01,100.39
1.153,Kofe,Кофе растворимый,Instant coffee,Кофе,2024-01-01,98.56
1.154,Tabiiy kofe donalari,Натуральные кофейные зерна,Natural coffee beans,Табиий кофе доналари,2024-01-01,100.0
1.155,Qora choy,Чай черный,Black tea,Қора чой,2024-01-01,100.35
1.156,Koʻk choy,Чай зеленый,Green tea,Кўк чой,2024-01-01,100.48
1.157,Kakao ichimliklari,Какао напитки,Cocoa drinks,Какао ичимликлари,2024-01-01,99.95
1.158,"Mineral, gazlangan suvlar","Вода минеральная, газированная","Mineral water, carbonated","Минерал, газланган сувлар",2024-01-01,100.0
1.159,"Koka-kola, limonad va shu kabi ichimliklar","Кока-кола, лимонад и аналогичные напитки (кpоме мин.воды)","Coca-Cola, lemonade and similar drinks (except mineral water)","Кока-кола, лимонад ва шу каби ичимликлар",2024-01-01,100.0
1.16,Kvas,Квас,Kvass,Квас,2024-01-01,100.0
1.161,Mors,Морс,Morse,Морс,2024-01-01,100.0
1.162,Choy ekstrakti asosidagi salqin ichimliklar,Прохладительные напитки на основе чайных экстрактов,Soft drinks based on tea extracts,Чой экстракти асосидаги салқин ичимликлар,2024-01-01,100.0
1.163,Energetik ichimliklar,Энергетические напитки,Energy drinks,Энергетик ичимликлар,2024-01-01,100.0
1.164,Aroq,Водка,Vodka,Ароқ,2024-01-01,101.04
1.165,Konyak,Коньяк,Cognac,Коньяк,2024-01-01,100.38
1.166,Uzum vinosi,Вино виноградное,Grape wine,Узум виноси,2024-01-01,101.43
1.167,Pivo,Пиво,Beer,Пиво,2024-01-01,100.47
1.168,Kafedagi tayyor taomlar,Готовая пища в кафе,Ready-to-eat food in cafes,Кафедаги тайёр таомлар,2024-01-01,100.0
1.169,Oshxonadagi tayyor taomlar,Готовая пища в столовых,Ready-to-eat food in canteens,Ошхонадаги тайёр таомлар,2024-01-01,100.56
1.17,"Boshqa oshxonalar, kafeteriylar va gazakxonalar","Прочие столовые, кафетерии и закусочные","Other canteens, cafeterias and snack bars","Бошқа ошхоналар, кафетерийлар ва газакхоналар",2024-01-01,100.0
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,2024-01-01,100.44
2.1,Sigaretlar,Сигареты,Cigarettes,Сигаретлар,2024-01-01,100.28
2.2,Nosvoy,Насвай,Nasvay,Носвой,2024-01-01,100.0
2.3,Kiyim tayyorlash uchun ip gazlamalar,Ткани хлопчатобумажные для изготовления одежды,Cotton fabrics for making clothes,Кийим тайёрлаш учун ип газламалар,2024-01-01,100.0
2.4,Kiyim tayyorlash uchun jun gazlamalar,Ткани шерстяные для изготовления одежды,Wool fabrics for making clothes,Кийим тайёрлаш учун жун газламалар,2024-01-01,100.0
2.5,Kiyim tayyorlash uchun ipak gazlamalar,Ткани шелковые для изготовления одежды,Silk fabrics for making clothes,Кийим тайёрлаш учун ипак газламалар,2024-01-01,99.82
2.6,Kiyim tayyorlash uchun sunʼiy gazlamalar,Ткани синтетические для изготовления одежды,Synthetic fabrics for making clothes,Кийим тайёрлаш учун сунъий газламалар,2024-01-01,100.0
2.7,"Erkaklar uchun qishki palto, kalta palto","Пальто, полупальто зимнее мужское","Men's winter coat, short coat","Эркаклар учун қишки пальто, калта пальто",2024-01-01,100.95
2.8,Erkaklar uchun qishki kurtka,Куртка зимняя мужская,Men's winter jacket,Эркаклар учун қишки куртка,2024-01-01,100.0
2.9,Erkaklar uchun yengil (demisezon) kurtka,Куртка демисезонная мужская,Men's demi-season jacket,Эркаклар учун енгил (демисезон) куртка,2024-01-01,104.45
2.1,Erkaklar uchun charm kurtka,Куртка кожаная мужская,Men's leather jacket,Эркаклар учун чарм куртка,2024-01-01,100.21
2.11,Oʻgʻil bolalar uchun qishki kurtka,Куртка зимняя для мальчиков,Winter jacket for boys,Ўғил болалар учун қишки куртка,2024-01-01,100.0
2.12,Oʻgʻil bolalar uchun yengil (demisezon) kurtka,Куртка демисезонная для мальчиков,Demi-season jacket for boys,Ўғил болалар учун енгил (демисезон) куртка,2024-01-01,100.0
2.13,Oʻgʻil bolalar uchun charm kurtka,Куртка кожаная для мальчиков,Leather jacket for boys,Ўғил болалар учун чарм куртка,2024-01-01,100.0
2.14,Erkaklar uchun plash,Плащ мужской,Men's raincoat,Эркаклар учун плаш,2024-01-01,100.78
2.15,"Erkaklar uchun choponlar, milliy ustki kamzullar, toʻnlar","Мужские чапаны, национальные верхние камзолы, халаты","Men's chapans, national outer camisoles, robes","Эркаклар учун чопонлар, миллий устки камзуллар, тўнлар",2024-01-01,100.65
2.16,Erkaklar uchun kostyum,Костюм мужской,Suit male,Эркаклар учун костюм,2024-01-01,97.36
2.17,Oʻgʻil bolalar uchun kostyum,Костюм для мальчиков,Boys' suit,Ўғил болалар учун костюм,2024-01-01,100.0
2.18,Erkaklar uchun pidjaklar,Пиджаки мужские,Men's jackets,Эркаклар учун пиджаклар,2024-01-01,100.48
2.19,Oʻgʻil bolalar uchun pidjaklar,Пиджаки для мальчиков,Boys' jackets,Ўғил болалар учун пиджаклар,2024-01-01,100.0
2.2,"Erkaklar uchun sviterlar, jemperlar, puloverlar","Свитера, джемперы, пуловеры мужские","Men's sweaters, jumpers, pullovers","Эркаклар учун свитерлар, жемперлар, пуловерлар",2024-01-01,101.12
2.21,"Oʻgʻil bolalar uchun sviterlar, jemperlar, puloverlar","Свитера, джемперы, пуловеры для мальчиков","Men's sweaters, jumpers, pullovers","Ўғил болалар учун свитерлар, жемперлар, пуловерлар",2024-01-01,100.01
2.22,"Erkaklar uchun shimlar, djinsi shimlar","Брюки, джинсы мужские","Men's trousers, jeans","Эркаклар учун шимлар, джинси шимлар",2024-01-01,100.32
2.23,"Oʻgʻil bolalar uchun shimlar, djinsi shimlar","Брюки, джинсы для мальчиков","Boys' trousers, jeans","Ўғил болалар учун шимлар, джинси шимлар",2024-01-01,100.15
2.24,Erkaklar uchun koʻylaklar,"Сорочки, рубашки мужские","Men's shirts, blouses",Эркаклар учун кўйлаклар,2024-01-01,100.01
2.25,"Oʻgʻil bolalar uchun sorochkalar, koʻylaklar","Сорочки, рубашки для мальчиков","Boys' shirts, blouses","Ўғил болалар учун сорочкалар, кўйлаклар",2024-01-01,100.0
2.26,Erkaklar uchun maykalar,Майки мужские,Men's undershirts,Эркаклар учун майкалар,2024-01-01,99.43
2.27,Erkaklar uchun trusiklar,Трусы мужские,Men's underpants,Эркаклар учун трусиклар,2024-01-01,101.56
2.28,Erkaklar uchun shortik va shalvarlar,Шорты и брюки (шалвар) мужские,Men's shorts and trousers (shalwar),Эркаклар учун шортик ва шалварлар,2024-01-01,99.97
2.29,Erkaklar uchun futbolkalar,Футболки мужские,Men's T-shirts,Эркаклар учун футболкалар,2024-01-01,100.37
2.3,Erkaklar uchun ich kiyim komplekti,Комплект белья мужского,Men's underwear set,Эркаклар учун ич кийим комплекти,2024-01-01,99.05
2.31,Erkaklar paypogʻi,Носки мужские,Men's socks,Эркаклар пайпоғи,2024-01-01,100.0
2.32,Oʻgʻil bolalar uchun maykalar,Майки для мальчиков,Men's undershirts,Ўғил болалар учун майкалар,2024-01-01,100.0
2.33,Oʻgʻil bolalar uchun trusiklar,Трусы для мальчиков,Boys' underpants,Ўғил болалар учун трусиклар,2024-01-01,100.0
